text,intent
What am I going to need in order to activate my card?,activate_my_card
I tired but an unable to activate my card.,activate_my_card
What do I need for activation of my card?,activate_my_card
I would like to have assistance with activating my card.,activate_my_card
"You can do that in just a few seconds. Go to account, hit activate, and follow the directions from there.",activate_my_card
Card activation steps,activate_my_card
Can I get some help activating my new card?,activate_my_card
I am planning activating my card was it possible?,activate_my_card
I just received my card and I'd like to activate it.,activate_my_card
I have my card now how do I activate it?,activate_my_card
I tried activating my card and it didn't work,activate_my_card
"How long does it take to activate the card, as it does not look like its working?",activate_my_card
I just got my card and cannot get it to work.,activate_my_card
I need to actuate my card.,activate_my_card
I want to activate the card.,activate_my_card
I am having trouble activating my card.,activate_my_card
What is the most efficient way to activate my new card?,activate_my_card
What is the process for activating a new card.,activate_my_card
What is needed to activate my card?,activate_my_card
"I need to activate my card, how is that done?",activate_my_card
I would like my card activated.,activate_my_card
Please help me with my card.  It won't activate.,activate_my_card
I want to start using my card.,activate_my_card
I need to do a card activation.,activate_my_card
What steps do I have to go through in order to activate my new card?,activate_my_card
My card activation is failing.,activate_my_card
What is the process for activating my card and using it?,activate_my_card
"I want to use my card, how would I activate it?",activate_my_card
Help me activate my new card.,activate_my_card
When are you going to activate my card?,activate_my_card
Is my new card activated?,activate_my_card
What do I do to activate my new card?,activate_my_card
Can I activate my card?,activate_my_card
I have a new card and I need to activate it.,activate_my_card
Card activation is not working. What do i do?,activate_my_card
I would like to activate my card what do I need to do?,activate_my_card
"I want to start using my card, how do I activate it?",activate_my_card
I was unable to activate my card.,activate_my_card
I need assistance with activating my new card.,activate_my_card
I need more assistance with how to activate my card.,activate_my_card
Can someone assist me with activating my card?,activate_my_card
Tell me what I need to do to activate my card.,activate_my_card
Is my card activated?,activate_my_card
What is the process to activate a card,activate_my_card
I need info on activating my card?,activate_my_card
I want to use my card. How do I activate it?,activate_my_card
i cannot seem to activate card,activate_my_card
Can I get some help to get me card activated?,activate_my_card
I need assistance to activate the card on my account.,activate_my_card
"What are the steps to activate the card, as it does not seem to work?",activate_my_card
I just got my new card.  How can I activate it?,activate_my_card
My card activation attempt failed.,activate_my_card
How do i activate my card,activate_my_card
My new card came in.  How do I activate?,activate_my_card
Please assist me in activating the card.,activate_my_card
Where do I activate my card?,activate_my_card
Do you know the process how to activate my card?,activate_my_card
will you be able to activate my card,activate_my_card
I tried activation my card and it didn't employment,activate_my_card
How long does it take to activate my card?,activate_my_card
"My new card just arrived, how can I activate it?",activate_my_card
"How do I activate my card, so that I can start using it?",activate_my_card
What is the process for activating my new card?,activate_my_card
"With my new card, how may I activate it?",activate_my_card
How can my new card be renewed?,activate_my_card
How do I activate my card so I can start using it?,activate_my_card
What are the steps that I need to take to activate a new card?,activate_my_card
I tried activating my plug-in and it didn't piece of work,activate_my_card
Can you tell me how I go about activating a new card?,activate_my_card
I'm not able to activate my card how do I fix this problem?,activate_my_card
How do I activate my new card,activate_my_card
Please help me with the activation of the new card.,activate_my_card
Can I have my card activated?,activate_my_card
Do I need a photo ID to activate a my new card?,activate_my_card
How can I activate the new card i got?,activate_my_card
Could you please tell me how to activate my new card?,activate_my_card
What identification is required to activate my card?,activate_my_card
My card needs to be activated asap,activate_my_card
"Just received my replacement card, what steps do i need to take to activate it?",activate_my_card
"My new card is here, what's the process for activating it?",activate_my_card
are there age requirements,age_limit
How old do my kids have to be use this?,age_limit
Is there a limit for age?,age_limit
Do you have a children account available?,age_limit
Is my child too young to sign up?,age_limit
Can my 8 year old grandson open an account at the bank?,age_limit
Is there an age limit to when my child can use these services?,age_limit
Could my daughter open an account?,age_limit
Can I get an account for my daughter?,age_limit
what is the age limit for opening a new account,age_limit
Can I make an account for my kids?,age_limit
Would I be able to open an account for my daughter?,age_limit
What age do you have to be?,age_limit
At what age can my children use your service?,age_limit
Do you have to be 18 to make an account?,age_limit
